AD/AS/C/0022,80,Assam,Karbi-Anglong,,"Taralangso, Ward No 10 (DIPHU)",09-04-2022,1,1,F,0-08,1,1,2
AD/AS/C/0023,81,Assam,Karbi-Anglong,,"Taralangso, Ward No 10 (DIPHU)",09-04-2022,1,1,F,0-05,1,1,2
AD/AS/C/0024,82,Assam,Karbi-Anglong,,"Rongjangphong, Ward No. 9",09-04-2022,1,1,F,0-07,1,1,2
AD/AS/C/0025,83,Assam,Karbi-Anglong,,"Rongjangphong, Ward No. 9",09-04-2022,1,1,F,0-05,1,1,2
AD/AS/C/0026,84,Assam,Karbi-Anglong,,"Rongjangphong, Ward No. 9",09-04-2022,1,1,F,0-07,1,1,2
AD/AS/C/0027,85,Assam,Karbi-Anglong,,"Rongjangphong, Ward No. 9",09-04-2022,1,1,F,0-08,1,1,2
AD/AS/C/0028,86,Assam,Karbi-Anglong,,"Rongjangphong, Ward No. 9",09-04-2022,1,1,F,0-09,1,1,2
AD/AS/C/0029,87,Assam,Karbi-Anglong,,"Rongjangphong, Ward No. 9",09-04-2022,1,1,F,0-07,1,1,2
AD/AS/C/0030,88,Assam,Karbi-Anglong,,"Rongjangphong, Ward No. 9",09-04-2022,1,1,F,0-09,1,1,2
AD/AS/C/0031,89,Assam,Karbi-Anglong,,"Rongjangphong, Ward No. 9",09-04-2022,1,1,F,0-10,1,1,2
AD/AS/C/0032,90,Assam,Karbi-Anglong,,"Rongjangphong, Ward No. 9",09-04-2022,1,1,F,0-08,1,1,2
AD/AS/C/0033,91,Assam,Karbi-Anglong,,"Rongjangphong, Ward No. 9",09-04-2022,1,1,F,0-05,1,1,2
AD/AS/C/0034,92,Assam,Karbi-Anglong,,"Rongjangphong, Ward No. 9",09-04-2022,1,1,F,0-08,1,1,2
AD/AS/C/0035,93,Assam,Karbi-Anglong,,"Rongjangphong, Ward No. 9",09-04-2022,1,1,F,0-07,1,1,2
AD/AS/C/0036,94,Assam,Karbi-Anglong,,"Rongjangphong, Ward No. 9",09-04-2022,1,1,F,0-11,1,1,2
AD/AS/C/0037,95,Assam,Karbi-Anglong,,"Dihingia,Manipuri Basti Assam 782470",08-04-2022,1,1,F,0-08,1,1,2
AD/AS/C/0038,96,Assam,Karbi-Anglong,,"Dihingia,Manipuri Basti Assam 782470",08-04-2022,1,1,F,0-05,1,1,2
AD/AS/C/0039,97,Assam,Kamrup,,"8th Mile, Kamalabagan",11-04-2022,1,1,F,0-10,1,1,2
AD/AS/C/0040,98,Assam,Kamrup,,"8th Mile, Kamalabagan",11-04-2022,1,1,F,0-09,1,1,2
AD/AS/C/0041,99,Assam,Kamrup,,"8th Mile, Kamalabagan",11-04-2022,1,1,F,0-11,1,1,2
AD/AS/C/0042,100,Assam,Kamrup,,"8th Mile, Kamalabagan",11-04-2022,1,1,F,0-10,1,1,2
AD/AS/C/0043,101,Assam,Kamrup,,"8th Mile, Kamalabagan",11-04-2022,1,1,F,0-08,1,1,2
AD/AS/C/0044,102,Assam,Kamrup,,"8th Mile, Kamalabagan",11-04-2022,1,1,F,0-05,1,1,2
AD/AS/C/0045,103,Assam,Kamrup,,"8th Mile, Kamalabagan",11-04-2022,1,1,F,0-08,1,1,2
AD/AS/C/0046,104,Assam,Kamrup,,"8th Mile, Kamalabagan",11-04-2022,1,1,F,0-10,1,1,2
AD/AS/C/0047,105,Assam,Kamrup,,"8th Mile, Kamalabagan",11-04-2022,1,1,F,0-08,1,1,2
AD/AS/C/0155,106,Assam,Kamrup Metropolitant,,"Bonda, Satgaon",24-06-2022,1,1,F,9y,1,1,2
AD/AS/C/0156,107,Assam,Kamrup Metropolitant,,"Bonda, Satgaon",24-06-2022,1,1,F,0-11,1,1,2
AD/AS/C/0157,108,Assam,Kamrup Metropolitant,,"Bonda, Satgaon",24-06-2022,1,1,F,0-10,1,1,2
AD/AS/C/0158,109,Assam,Kamrup Metropolitant,,"Bonda, Satgaon",24-06-2022,1,1,F,1y,1,1,2
AD/AS/C/0159,110,Assam,Kamrup Metropolitant,,"Bonda, Satgaon",24-06-2022,1,1,F,3y,1,1,2
AD/AS/C/0160,111,Assam,Kamrup Metropolitant,,"Bonda, Satgaon",24-06-2022,1,1,F,5y,1,1,2
AD/AS/C/0161,112,Assam,Kamrup Metropolitant,,"Bonda, Satgaon",24-06-2022,1,1,F,1y,1,1,2
AD/AS/C/0162,113,Assam,Kamrup Metropolitant,,"Bonda, Satgaon",24-06-2022,1,1,F,3y,1,1,2
AD/AS/C/0163,114,Assam,Kamrup Metropolitant,,"Bonda, Satgaon",24-06-2022,1,1,F,1.5y,1,1,2
AD/AS/C/0164,115,Assam,Kamrup Metropolitant,,"Bonda, Satgaon",24-06-2022,1,1,F,4y,1,1,2
AD/AS/C/0188,116,Assam,Golaghat,,Bengenakhowa Gaon,30/08/2022,1,1,F,5-7 Y,1,1,1
AD/AS/C/0189,117,Assam,Golaghat,,Bengenakhowa Gaon,30/08/2023,1,1,F,5-7 Y,1,1,1
AD/AS/C/0190,118,Assam,Golaghat,,Bengenakhowa Gaon,30/08/2024,1,1,F,5-7 Y,1,1,2
AD/AS/C/0191,119,Assam,Golaghat,,Bengenakhowa Gaon,30/08/2025,1,1,F,5-7 Y,1,1,2
AD/AS/C/0192,120,Assam,Golaghat,,Bengenakhowa Gaon,30/08/2026,1,1,F,0-05,1,1,2
AD/AS/C/0193,121,Assam,Golaghat,,Dergaon,30/08/2027,1,1,F,5-7 Y,1,1,2
AD/AS/C/0194,122,Assam,Golaghat,,Bengenakhowa Gaon,30/08/2028,1,1,F,5-7 Y,1,1,2
AD/AS/C/0195,123,Assam,Golaghat,,Bengenakhowa Gaon,30/08/2029,1,1,F,5-7 Y,1,1,2
